entry_id,player_id,number,tier,season,team,sport,league,role,signature_stat,stat_label,stat_weight,fun_fact,verification_status,source_id,notes
bc-0086,marcus-bryant,52,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,SMU,verified,nfl,
bc-0087,sean-kuraly,52,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Miami University (NCAA),verified,nhl,
bc-0088,w-abreu,52,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RF,,,,Venezuela,verified,mlb,
bc-0089,christian-elliss,53,ACTIVE,2025-26,New England Patriots,Football,NFL,LB,,,,Idaho,verified,nfl,
bc-0090,s-gray,54,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Vanderbilt,verified,mlb,
bc-0091,baylor-scheierman,55,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,South Dakota State / Creighton,verified,nba,
bc-0092,r-suarez,55,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Venezuela,verified,mlb,
bc-0093,r-watson,56,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RP,,,,Auburn,verified,mlb,
bc-0094,g-weissert,57,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RP,,,,Fordham,verified,mlb,
bc-0095,jared-wilson,58,ACTIVE,2025-26,New England Patriots,Football,NFL,OL,,,,Georgia,verified,nfl,
bc-0096,vederian-lowe,59,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,Illinois,verified,nfl,
bc-0097,j-slaten,63,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RP,,,,New Mexico,verified,mlb,
bc-0098,garrett-bradbury,65,ACTIVE,2025-26,New England Patriots,Football,NFL,C,,,,NC State,verified,nfl,
bc-0099,b-bello,66,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Dominican Republic,verified,mlb,
bc-0100,will-campbell,66,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,LSU,verified,nfl,
bc-0101,caedan-wallace,70,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,Penn State,verified,nfl,
bc-0102,joonas-korpisalo,70,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,G,,,,Jokerit Helsinki (Finland),verified,nhl,
bc-0103,p-tolle,70,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,TCU,verified,mlb,
bc-0104,c-early,71,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Virginia,verified,mlb,
bc-0105,mike-onwenu,71,ACTIVE,2025-26,New England Patriots,Football,NFL,OL,,,,Michigan,verified,nfl,
bc-0106,viktor-arvidsson,71,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,LW,,,,Skellefteå AIK (Sweden),verified,nhl,
bc-0107,charlie-mcavoy,73,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,Boston University (NCAA),verified,nhl,
bc-0108,thayer-munford-jr,74,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,Ohio State,verified,nfl,
bc-0109,c-narv-ez,75,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,C,,,,Venezuela,verified,mlb,
bc-0110,morgan-moses,76,ACTIVE,2025-26,New England Patriots,Football,NFL,OT,,,,Virginia,verified,nfl,
bc-0111,z-kelly,76,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RP,,,,Newberry College,verified,mlb,
bc-0112,amari-williams,77,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,F,,,,Drexel / Kentucky,verified,nba,
bc-0113,ben-brown,77,ACTIVE,2025-26,New England Patriots,Football,NFL,C,,,,Ole Miss,verified,nfl,
bc-0114,t-samaniego,78,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Alabama,verified,mlb,
bc-0115,t-uberstine,79,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,UC Irvine,verified,mlb,
bc-0116,austin-hooper,81,ACTIVE,2025-26,New England Patriots,Football,NFL,TE,,,,Stanford,verified,nfl,
bc-0117,michael-eyssimont,81,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,St. Cloud State (NCAA),verified,nhl,
bc-0118,cj-dippre,82,ACTIVE,2025-26,New England Patriots,Football,NFL,TE,,,,Alabama,verified,nfl,
bc-0119,tanner-jeannot,84,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,LW,,,,Moose Jaw Warriors (WHL),verified,nhl,
bc-0120,hunter-henry,85,ACTIVE,2025-26,New England Patriots,Football,NFL,TE,,,,Arkansas,verified,nfl,
bc-0121,efton-chism-iii,86,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,Eastern Washington,verified,nfl,
bc-0122,david-pastrnak,88,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,RW,,,,Södertälje SK (Sweden),verified,nhl,
bc-0123,neemias-queta,88,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,C,,,,Utah State,verified,nba,
bc-0124,t-houck,89,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SP,,,,Missouri,verified,mlb,
bc-0125,christian-barmore,90,ACTIVE,2025-26,New England Patriots,Football,NFL,DT,,,,Alabama,verified,nfl,
bc-0126,elijah-ponder,91,ACTIVE,2025-26,New England Patriots,Football,NFL,LB,,,,Cal Poly,verified,nfl,
bc-0127,nikita-zadorov,91,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,London Knights (OHL),verified,nhl,
bc-0128,marat-khusnutdinov,92,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,SKA St. Petersburg (KHL system),verified,nhl,
bc-0129,fraser-minten,93,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Kamloops Blazers (WHL),verified,nhl,
bc-0130,cory-durden,94,ACTIVE,2025-26,New England Patriots,Football,NFL,DL,,,,Florida State / NC State,verified,nfl,
bc-0131,khyiris-tonga,95,ACTIVE,2025-26,New England Patriots,Football,NFL,DL,,,,BYU,verified,nfl,
bc-0132,milton-williams,97,ACTIVE,2025-26,New England Patriots,Football,NFL,DT,,,,Louisiana Tech,verified,nfl,
